¹ö½ºÁ¤·ùÀå,½ÂÇÏÂ÷ÃÑ½Â°´¼ö,XÁÂÇ¥,YÁÂÇ¥
23314,2627,127.0389746,37.49169541
23176,2536,127.0473904,37.51831422
23305,2149,127.0389365,37.50129938
22303,171,127.0493483,37.47037049
22003,3408,127.0358473,37.48252188
22289,8571,127.0349993,37.483382
22290,2027,127.035321,37.483395
22440,4056,127.0350604,37.48365718
23921,1143,127.0365903,37.48479347
23446,950,127.0972042,37.47309121
23450,470,127.0890799,37.48396273
23698,251,127.0454206,37.48433621
23720,219,127.0452788,37.48438127
23273,373,127.0406091,37.50918804
23138,398,127.0403789,37.50930041
23243,991,127.067123,37.50986528
23145,1593,127.033376,37.50844
23144,212,127.0347231,37.50761522
23270,379,127.0348192,37.50748582
23231,748,127.064132,37.49250405
23239,713,127.0642192,37.49276254
23352,1686,127.0661422,37.48849543
23354,1806,127.066343,37.48849707
23355,376,127.0683897,37.48948469
23356,316,127.0684206,37.48942561
23479,56,127.0654251,37.48894592
23595,33,127.0652745,37.48880901
23357,192,127.0705611,37.49012612
23358,248,127.070533,37.49005516
23960,168,127.0555188,37.50868119
23360,797,127.0720957,37.49219737
23395,1509,127.0722868,37.49234249
23236,1272,127.0685143,37.49847488
23308,1916,127.051345,37.49926851
23253,1352,127.051101,37.50008887
23258,2261,127.0498623,37.50271346
23195,112,127.0655977,37.51251566
23203,999,127.0547854,37.51037087
23209,803,127.0546557,37.51024565
23473,1392,127.0659851,37.50955991
23252,1956,127.0520473,37.4980863
23334,369,127.0571626,37.48580045
23342,419,127.0570883,37.48609979
23483,48,127.0592567,37.48616204
23484,43,127.0590419,37.48610517
23474,67,127.0619213,37.4872485
23491,32,127.0623828,37.48748845
23310,2803,127.0514098,37.49581335
23331,1499,127.0519042,37.49578964
23189,4759,127.0595929,37.51502307
23192,4953,127.0599463,37.51503593
23165,1107,127.0450602,37.52666225
23180,1430,127.044655,37.524013
23182,1694,127.0451104,37.52651764
23190,274,127.0590209,37.51412121
23818,1137,127.060728,37.512952
23367,161,127.0519815,37.47198704
23368,993,127.0506326,37.47183935
23174,706,127.0499674,37.51948858
23184,297,127.0493648,37.52031056
23215,1522,127.0441887,37.5096951
23275,1949,127.0442529,37.50928289
23172,2007,127.0565165,37.52002279
23187,1798,127.0565011,37.51989657
23188,862,127.0577252,37.519113
23245,1044,127.0657711,37.50358222
23598,302,127.0503343,37.50043777
23883,292,127.0506805,37.50097852
23107,1638,127.0258888,37.51887953
23112,1877,127.0259391,37.51866441
23435,711,127.0680058,37.50127031
23436,1084,127.0682658,37.50118193
23511,1539,127.0671134,37.50182456
23225,1232,127.0621593,37.49629741
23163,670,127.0333156,37.52566297
23124,1412,127.0307698,37.52039868
23151,1398,127.0306739,37.52060072
23113,1959,127.0285622,37.5184082
23133,1621,127.0286786,37.51853637
23126,1263,127.0380422,37.52267134
23161,2773,127.0378595,37.52285815
22016,4794,127.0206424,37.51293011
23281,4070,127.036748,37.5013794
23282,3069,127.0364201,37.50169517
23510,1070,127.0440701,37.49815838
23697,588,127.0448402,37.49796953
23876,388,127.0449831,37.49819072
23300,929,127.0477203,37.49947373
23301,679,127.0473506,37.49944672
23289,1277,127.0380896,37.49818822
23384,899,127.085952,37.483484
23963,378,127.0890806,37.48137631
23964,207,127.0918949,37.48140513
23970,66,127.0896103,37.48182384
23573,304,127.0435062,37.48248139
23731,255,127.0435956,37.48274577
23406,482,127.0972204,37.48537242
23407,626,127.0975828,37.48530203
23971,130,127.0946356,37.48349624
23972,50,127.0947426,37.48349143
23965,90,127.0945154,37.48212413
23968,114,127.0943158,37.48206496
23385,776,127.0937642,37.48427688
23465,742,127.0933524,37.48452051
23105,3235,127.0283485,37.52615131
23429,2798,127.0284994,37.52600991
23149,5072,127.0310097,37.52847448
23819,263,127.0844004,37.49259231
23392,421,127.0826682,37.48910439
23489,372,127.081416,37.48937118
23579,348,127.0815178,37.4894788
23877,141,127.0823946,37.49183549
23815,210,127.0826018,37.49185674
23221,722,127.0536715,37.49464279
23575,200,127.0474594,37.51141817
23210,905,127.0515589,37.51259851
23211,699,127.0517763,37.51248875
23208,465,127.052114,37.515003
23204,709,127.0519259,37.51573973
23212,435,127.0461658,37.5110321
23213,585,127.0464486,37.51094655
23136,682,127.0427985,37.51303053
23175,857,127.0479689,37.52338222
23294,1583,127.033618,37.49022135
23295,876,127.0304896,37.49214788
23311,2033,127.0477526,37.49460763
23925,201,127.0466509,37.49465145
23399,341,127.0865884,37.49387569
22007,4030,127.0303402,37.49182345
22878,1168,127.0307566,37.49095823
23738,299,127.0460595,37.49405311
23397,339,127.0788475,37.49332191
23597,465,127.0782775,37.4932873
23728,994,127.0796406,37.49324156
23911,986,127.0799595,37.49286244
