버스정류장ARS번호,승하차총승객수,X좌표,Y좌표
10147,246,127.0515203,37.65176076
10148,196,127.0514919,37.65150353
10149,273,127.0523639,37.64903476
1015,6477,126.989569,37.57018754
10150,200,127.0521499,37.64926076
10151,266,127.0530401,37.64706226
10152,178,127.052883,37.64728205
10153,617,127.0404785,37.68702208
10154,382,127.0440317,37.68730562
10155,653,127.0435886,37.68738272
10156,245,127.0465437,37.68034807
10157,385,127.0470369,37.68028802
10158,97,127.0490499,37.67947395
10159,118,127.0490485,37.6795488
1016,6207,126.9899683,37.57038869
10160,262,127.0494168,37.67902406
10161,342,127.042813,37.67119843
10162,450,127.042805,37.67124248
10163,157,127.0391573,37.67055111
10164,1257,127.0395822,37.67080695
10165,203,127.0364675,37.66934294
10166,390,127.0367694,37.66952991
10167,608,127.0346663,37.66816334
10168,2269,127.0346732,37.66822566
1017,3449,126.9947287,37.57041688
10172,196,127.0277759,37.66337271
10173,331,127.0350739,37.66408836
10174,1145,127.0349535,37.66408149
10175,356,127.0348421,37.66184238
10176,262,127.0347587,37.66176061
10177,485,127.0350657,37.65957129
10178,231,127.0350224,37.65916506
10179,361,127.0318165,37.66866759
1018,3150,126.995277,37.57060029
10180,378,127.0343875,37.66645734
10181,579,127.0343109,37.66639699
10182,140,127.037369,37.66308593
10183,127,127.037202,37.66323204
10184,542,127.0229367,37.66185785
10185,425,127.0237626,37.66156773
10186,1105,127.0281056,37.66172186
10187,588,127.0287004,37.66189708
10188,944,127.0275695,37.66137745
10189,1327,127.0313755,37.66203397
1019,6776,126.9988533,37.57071571
10190,844,127.0320972,37.66224336
10191,1386,127.0343256,37.66237711
10192,1273,127.03435,37.66251035
10193,1366,127.036996,37.66268913
10194,1145,127.0370123,37.66282125
10195,911,127.0404983,37.66271313
10196,1540,127.0405782,37.66285562
10197,291,127.0462982,37.66274747
10198,312,127.0478429,37.66239777
10199,304,127.048155,37.66245348
1020,3894,126.9993199,37.57090764
10200,736,127.0150272,37.65751397
10201,403,127.0147212,37.65768244
10202,178,127.018942,37.65727588
10203,238,127.0189607,37.65736523
10204,1017,127.0231369,37.65735638
10205,641,127.0223232,37.65747743
10206,518,127.0242709,37.65740083
10207,511,127.024867,37.657521
10208,183,127.0277033,37.66083224
10209,939,127.0277095,37.65981628
1021,4932,127.0034688,37.57091778
10210,616,127.0289337,37.65764531
10211,664,127.0285501,37.65772402
10212,1288,127.0317544,37.65782675
10213,1179,127.0313288,37.65791078
10214,1649,127.035122,37.658044
10215,1833,127.0346214,37.6581209
10216,1577,127.0376887,37.65719044
10217,2193,127.0375443,37.65736181
10218,673,127.013577,37.65726406
10219,1115,127.0129604,37.65453303
1022,5305,127.0057094,37.57115181
10221,1334,127.0130474,37.65103616
10222,405,127.0256057,37.64701367
10223,413,127.025448,37.64700571
10224,481,127.0279081,37.64966717
10225,584,127.0280524,37.65002259
10226,578,127.0283915,37.65176546
10227,833,127.0284159,37.65136492
10228,352,127.0409137,37.65425573
