표준ID,버스정류장ARS번호,정류소명,X좌표,Y좌표
101000033,2128,시청앞,126.9764872,37.56260691
101000034,2131,삼성본관앞,126.9760491,37.56201768
101000035,2132,시청앞,126.9763191,37.56272336
101000036,2133,서소문,126.9748279,37.56330546
101000037,2134,서소문,126.9753581,37.56364514
101000038,2135,시청.서소문청사,126.9749714,37.56349625
101000039,2137,서울신문사,126.9772705,37.56836368
101000040,2139,우리은행종로지점,126.9827971,37.56752226
101000041,2140,롯데백화점,126.9821793,37.56447124
101000042,2141,해운센터.롯데영프라자,126.9816645,37.56285872
101000043,2142,롯데영프라자,126.9819218,37.56300813
101000045,2144,신세계앞,126.981632,37.560919
101000046,2145,남대문시장.회현역,126.9800425,37.55949853
101000047,2146,남대문시장.회현역,126.9783475,37.55855865
101000048,2147,남산3호터널,126.9828004,37.55848656
101000049,2148,남산3호터널.서울애니메이션센터,126.9825662,37.5595072
101000050,2149,명동입구,126.9852258,37.56076734
101000051,2150,퇴계로2가.명동역,126.985717,37.56094
101000052,2151,퇴계로3가.한옥마을.한국의집,126.991731,37.56113348
101000053,2152,퇴계로3가.한옥마을.한국의집,126.9924905,37.56098999
101000054,2153,충무로역2번출구.대한극장앞,126.994883,37.56131968
101000055,2154,충무로역8번출구.대한극장앞,126.9965752,37.56187249
101000056,2155,초동,126.9930225,37.56333797
101000057,2156,을지로입구.로얄호텔,126.9853753,37.56598702
101000058,2157,을지로입구.시청입구,126.9811721,37.56606813
101000059,2158,을지로2가.기업은행본점.서울노동청,126.9865271,37.56617502
101000060,2159,을지로2가.파인에비뉴,126.9888222,37.5661216
101000061,2160,을지로3가,126.9903795,37.56631337
101000062,2161,을지로3가,126.9913175,37.56623363
101000063,2162,을지로4가,126.9962219,37.56660385
101000064,2163,을지로4가.베스트웨스턴국도,126.9968403,37.56649714
101000065,2164,중구청앞.덕수중학교,126.9982285,37.56477911
101000066,2165,을지로5가,126.9992631,37.5667551
101000067,2166,을지로5가.중부시장,127.001107,37.56672392
101000068,2167,방산시장.훈련원종합체육관,127.0022525,37.56795334
101000069,2168,을지로5가.훈련원종합체육관,127.0024218,37.56581687
101000070,2169,을지로6가.국립중앙의료원,127.0064075,37.56617947
101000071,2170,광희동,127.0072942,37.5650334
101000072,2171,광희동,127.0075739,37.56508379
101000073,2172,을지로6가.국립중앙의료원,127.0058283,37.56640642
101000074,2173,동대문역사문화공원,127.0084231,37.56731997
101000075,2174,동대문역사문화공원,127.0089802,37.56762557
101000077,2177,충무아트센터.스포츠센터.중부소방서,127.0140522,37.56515844
101000078,2178,충무아트센터.스포츠센터.중부소방서,127.0147221,37.56512145
101000079,2179,성동공업고등학교(무궁화회관),127.0158931,37.56835631
101000080,2180,성동공업고등학교앞,127.0160142,37.56868774
101000081,2181,신당역.중앙시장앞,127.018745,37.56568518
101000082,2182,신당역.중앙시장앞,127.0194762,37.56558611
101000083,2183,성동고등학교,127.0220407,37.56551132
101000084,2184,성동고등학교,127.0225801,37.56528695
101000085,2187,신당동떡볶이타운.중구여성플라자,127.015142,37.56274933
101000086,2188,신당동떡볶이타운.중구여성플라자,127.0150783,37.56235115
101000087,2189,신당동.청구역,127.0131007,37.55899144
101000088,2190,신당동.청구역,127.0130812,37.55923872
101000089,2191,약수역2번출구.가온도서관,127.0111792,37.55596961
101000090,2192,약수역3번출구.약수하이츠,127.01125,37.55579466
101000091,2193,약수역4번출구.금호터널입구,127.0124236,37.55276596
101000092,2194,약수역5번출구.금호터널입구,127.0120112,37.55301126
101000093,2195,약수역8번출구.신당사회복지관,127.0099899,37.55385196
101000094,2196,약수역7번출구.약수동주민센터,127.0092201,37.55293541
101000095,2197,송도병원앞,127.0076565,37.55027259
101000096,2198,송도병원앞,127.0075034,37.55021868
101000294,2199,약수역1번출구,127.009602,37.55637304
101000097,2201,장충체육관앞,127.0077112,37.55840272
101000098,2202,장충체육관앞,127.007902,37.55808115
101000099,2203,장충동.동국대입구,127.0058094,37.56064722
101000100,2204,장충동.동국대입구,127.0056677,37.56065627
101000101,2205,퇴계로6가,127.0038946,37.56341884
101000102,2206,퇴계로6가,127.0032991,37.56343182
101000103,2207,퇴계로5가.제일병원,126.99993,37.56248011
101000104,2208,퇴계로5가,126.9999101,37.56262926
101000105,2209,국립극장.반얀트리호텔,127.000734,37.551223
101000106,2210,국립극장.반얀트리호텔,127.0010414,37.55161565
101000107,2211,청구역,127.0146421,37.5599363
101000108,2212,청구역,127.0142652,37.56000578
101000109,2213,동화동,127.0183294,37.55991519
101000110,2214,동화동,127.0182878,37.5598546
101000111,2215,백범광장,126.9801102,37.5556147
101000113,2218,남대문경찰서,126.9736348,37.55381915
101000114,2219,남대문시장앞.이회영활동터,126.9762193,37.56037765
101000115,2220,남산케이블카.남산산책로입구,126.9838859,37.55528501
101000116,2221,숭의여대,126.987406,37.55862038
101000117,2222,동대입구역.장충동,127.005433,37.55811924
101000295,2223,약수역10번출구,127.009201,37.55636809
101000119,2224,청계1가.광교,126.9836589,37.56858678
101000120,2225,청계2가.삼일교,126.9885302,37.568
101000121,2226,청계4가.배오개다리,126.9971441,37.56867761
101000122,2227,청계5가.방산시장,127.0006386,37.56925042
101000123,2228,청계6가.평화시장,127.0044818,37.569498
101000124,2229,청계7가.동평화.청평화시장,127.0138488,37.56962628
101000125,2230,청계8가.영도교,127.018747,37.57074699
101000128,2233,신한은행본점,126.9757104,37.56116507
101000130,2235,동대문역사문화공원,127.0091615,37.56552088
101000131,2236,버티고개,127.0060182,37.54784044
101000132,2237,버티고개,127.0057824,37.54769596
101000135,2240,청계3가.세운교,126.9937855,37.56836118
101000136,2241,청계6가.오간수교,127.009025,37.56960868
